time,device,trip,lat,lon,wiper,cam
58602,10159,4826,42.277,-83.762,1,1
58605,10159,4826,42.277,-83.762,1,1
58608,10159,4826,42.277,-83.761,1,1
58610,10159,4826,42.277,-83.761,1,1
58613,10159,4826,42.278,-83.76,1,1
58616,10159,4826,42.278,-83.76,1,1
58620,10159,4826,42.278,-83.759,1,1
58622,10159,4826,42.278,-83.759,1,1
58625,10159,4826,42.278,-83.759,1,1
58627,10159,4826,42.278,-83.758,1,1
58630,10159,4826,42.278,-83.758,1,1
58634,10159,4826,42.278,-83.757,1,1
58637,10159,4826,42.278,-83.757,1,1
58639,10159,4826,42.278,-83.756,1,1
58642,10159,4826,42.278,-83.756,1,1
58645,10159,4826,42.279,-83.756,1,1
58648,10159,4826,42.279,-83.755,1,1
58651,10159,4826,42.279,-83.755,1,1
58653,10159,4826,42.279,-83.755,1,1
58656,10159,4826,42.279,-83.755,1,1
58659,10159,4826,42.278,-83.755,1,1
58662,10159,4826,42.278,-83.755,1,1
58665,10159,4826,42.278,-83.755,1,1
58668,10159,4826,42.278,-83.755,1,1
58671,10159,4826,42.277,-83.755,1,1
58674,10159,4826,42.277,-83.755,1,1
58676,10159,4826,42.277,-83.755,1,1
58679,10159,4826,42.277,-83.755,1,1
58683,10159,4826,42.277,-83.755,1,1
58686,10159,4826,42.277,-83.755,1,1
58688,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58691,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58879,10159,4826,42.277,-83.755,1,1
58881,10159,4826,42.277,-83.755,1,1
58883,10159,4826,42.277,-83.755,1,1
58886,10159,4826,42.277,-83.755,1,1
58889,10159,4826,42.277,-83.755,1,1
58892,10159,4826,42.277,-83.755,1,1
58895,10159,4826,42.277,-83.755,1,1
58897,10159,4826,42.277,-83.755,1,1
58900,10159,4826,42.277,-83.755,1,1
58904,10159,4826,42.277,-83.755,1,1
58907,10159,4826,42.277,-83.755,1,1
58910,10159,4826,42.277,-83.755,1,1
58912,10159,4826,42.277,-83.755,1,1
58915,10159,4826,42.277,-83.755,1,1
58918,10159,4826,42.277,-83.755,1,1
58920,10159,4826,42.277,-83.755,1,1
58924,10159,4826,42.278,-83.755,1,1
58926,10159,4826,42.278,-83.755,1,1
58930,10159,4826,42.278,-83.755,1,1
58932,10159,4826,42.278,-83.755,1,1
58935,10159,4826,42.278,-83.755,1,1
58938,10159,4826,42.278,-83.755,1,1
58941,10159,4826,42.278,-83.755,1,1
58944,10159,4826,42.278,-83.754,1,1
58947,10159,4826,42.278,-83.754,1,1
58949,10159,4826,42.278,-83.754,1,1
58952,10159,4826,42.278,-83.754,1,1
58955,10159,4826,42.278,-83.753,1,1
58958,10159,4826,42.278,-83.753,1,1
58961,10159,4826,42.278,-83.753,1,1
58963,10159,4826,42.278,-83.753,1,1
58966,10159,4826,42.278,-83.753,1,1
58969,10159,4826,42.278,-83.752,1,1
58972,10159,4826,42.278,-83.752,1,1
58975,10159,4826,42.278,-83.752,1,1
58978,10159,4826,42.278,-83.752,1,1
58981,10159,4826,42.278,-83.751,1,1
58984,10159,4826,42.278,-83.751,1,1
58987,10159,4826,42.278,-83.751,1,1
